0001	{"energy": "452", "fat": "17.4", "saturedFat": "2.4", "carbohydrate": "62.8", "sugar": "17.5", "fibre": "6.2", "protein": "7.7", "salt": "0.22"}
0002	{"energy": "166", "fat": "3.6", "saturedFat": "1.3", "carbohydrate": "16", "sugar": "7.1", "fibre": "0.6", "protein": "13", "salt": "59"}
0003	{"energy": "511", "fat": "25", "saturedFat": "12", "carbohydrate": "63", "sugar": "35", "fibre": "2.3", "protein": "7.3", "salt": "0.32"}
0004	{"energy": "370", "fat": "2.0", "saturedFat": "0.3", "carbohydrate": "70", "sugar": "5.0", "fibre": "10", "protein": "13", "salt": "1.0"}
0005	{"energy": "338", "fat": "2.7", "saturedFat": "0.3", "carbohydrate": "63", "sugar": "1.0", "fibre": "9.0", "protein": "11", "salt": "0.01"}
0006	{"energy": "353", "fat": "1", "saturedFat": "0.5", "carbohydrate": "78", "sugar": "0.5", "fibre": "2", "protein": "7", "salt": "0.03"}
0007	{"energy": "225", "fat": "0.5", "saturedFat": "0.1", "carbohydrate": "20", "sugar": "8", "fibre": "1", "protein": "35", "salt": "8"}
0008	{"energy": "244", "fat": "4.8", "saturedFat": "0.6", "carbohydrate": "37", "sugar": "3.9", "fibre": "7.8", "protein": "9.3", "salt": "1.2"}
0009	{"energy": "521", "fat": "29", "saturedFat": "17", "carbohydrate": "56", "sugar": "53", "fibre": "7.4", "protein": "5.4", "salt": "0.01"}
0010	{"energy": "364", "fat": "5.3", "saturedFat": "1.8", "carbohydrate": "30", "sugar": "0", "fibre": "0", "protein": "49", "salt": "1.5"}
0011	{"energy": "258", "fat": "3.7", "saturedFat": "0.4", "carbohydrate": "47", "sugar": "5.5", "fibre": "2.7", "protein": "7.9", "salt": "1.2"}
0012	{"energy": "422", "fat": "16", "saturedFat": "2.5", "carbohydrate": "62", "sugar": "33", "fibre": "3.2", "protein": "6.9", "salt": "0.45"}
0013	{"energy": "282", "fat": "19", "saturedFat": "5.3", "carbohydrate": "0.7", "sugar": "0.7", "fibre": "0.5", "protein": "27", "salt": "4"}
0014	{"energy": "429", "fat": "18", "saturedFat": "11", "carbohydrate": "62", "sugar": "53", "fibre": "3.6", "protein": "3.3", "salt": "0.03"}
0015	{"energy": "396", "fat": "15", "saturedFat": "7", "carbohydrate": "58", "sugar": "26", "fibre": "3.9", "protein": "5.3", "salt": "0.73"}
0016	{"energy": "107", "fat": "4.5", "saturedFat": "3", "carbohydrate": "3.5", "sugar": "3.5", "fibre": "0", "protein": "13", "salt": "0.8"}
0017	{"energy": "32", "fat": "0.1", "saturedFat": "0.1", "carbohydrate": "6.0", "sugar": "4.0", "fibre": "0", "protein": "1.2", "salt": "1.7"}
0018	{"energy": "614", "fat": "46", "saturedFat": "19", "carbohydrate": "38", "sugar": "20", "fibre": "8.5", "protein": "7.8", "salt": "0"}
0019	{"energy": "526", "fat": "27", "saturedFat": "17", "carbohydrate": "63", "sugar": "29", "fibre": "1", "protein": "7", "salt": "0.3"}
0020	{"energy": "14", "fat": "1.2", "saturedFat": "1.1", "carbohydrate": "0", "sugar": "0", "fibre": "0", "protein": "0.1", "salt": "0.07"}
0021	{"energy": "300", "fat": "0", "saturedFat": "0", "carbohydrate": "75", "sugar": "74", "fibre": "-1", "protein": "0", "salt": "0"}
0022	{"energy": "296", "fat": "1.8", "saturedFat": "0.5", "carbohydrate": "52", "sugar": "2.1", "fibre": "14", "protein": "11", "salt": "0.01"}
0023	{"energy": "404", "fat": "18", "saturedFat": "9.1", "carbohydrate": "52", "sugar": "26", "fibre": "2.4", "protein": "7.3", "salt": "0.28"}
0024	{"energy": "516", "fat": "30", "saturedFat": "18", "carbohydrate": "50", "sugar": "47", "fibre": "8.9", "protein": "5.9", "salt": "0.01"}
0025	{"energy": "443", "fat": "16.4", "saturedFat": "2.5", "carbohydrate": "61.2", "sugar": "17.9", "fibre": "7.3", "protein": "9.1", "salt": "0.22"}
0026	{"energy": "167", "fat": "15", "saturedFat": "9.1", "carbohydrate": "4.2", "sugar": "4.2", "fibre": "0", "protein": "3.0", "salt": "0.1"}
0027	{"energy": "139", "fat": "3.3", "saturedFat": "1.5", "carbohydrate": "6.2", "sugar": "1.6", "fibre": "3.7", "protein": "16", "salt": "61.6"}
0028	{"energy": "393", "fat": "33", "saturedFat": "19", "carbohydrate": "0.1", "sugar": "0.1", "fibre": "0", "protein": "25", "salt": "1.7"}
0029	{"energy": "314", "fat": "0.7", "saturedFat": "0.1", "carbohydrate": "75", "sugar": "54", "fibre": "2.8", "protein": "0.5", "salt": "0.04"}
0030	{"energy": "738", "fat": "81.3", "saturedFat": "6.3", "carbohydrate": "0.3", "sugar": "0.2", "fibre": "0", "protein": "0.9", "salt": "1.2"}
0031	{"energy": "88", "fat": "0.6", "saturedFat": "0.1", "carbohydrate": "12", "sugar": "0.5", "fibre": "6.1", "protein": "5.5", "salt": "0.58"}
0032	{"energy": "389", "fat": "3.1", "saturedFat": "3.1", "carbohydrate": "87.6", "sugar": "85.4", "fibre": "0", "protein": "0.1", "salt": "2.1"}
0033	{"energy": "337", "fat": "5.9", "saturedFat": "0.01", "carbohydrate": "44", "sugar": "2.4", "fibre": "16", "protein": "19", "salt": "0.01"}
0034	{"energy": "337", "fat": "0", "saturedFat": "0", "carbohydrate": "78", "sugar": "59", "fibre": "0", "protein": "6.3", "salt": "0"}
0035	{"energy": "44", "fat": "0", "saturedFat": "0", "carbohydrate": "11", "sugar": "11", "fibre": "0", "protein": "0", "salt": "0"}
0036	{"energy": "511", "fat": "26", "saturedFat": "17", "carbohydrate": "62", "sugar": "37", "fibre": "0", "protein": "6", "salt": "0.53"}
0037	{"energy": "46", "fat": "1.5", "saturedFat": "0.9", "carbohydrate": "4.9", "sugar": "4.9", "fibre": "0", "protein": "3.2", "salt": "0.1"}
0038	{"energy": "402", "fat": "12", "saturedFat": "4.8", "carbohydrate": "69", "sugar": "42", "fibre": "1.5", "protein": "3.8", "salt": "0.22"}
